start_time,stop_time,cluster
2007-01-07 03:45:14.562700,2007-01-07 03:45:18.087700,10
2007-01-07 03:47:38.737700,2007-01-07 03:47:40.787700,10
2007-01-07 03:55:29.387700,2007-01-07 03:55:31.562700,10
2007-01-07 04:08:42.862700,2007-01-07 04:08:46.337700,10
2007-01-07 04:25:03.437700,2007-01-07 04:25:05.537700,10
2007-01-07 04:31:07.087700,2007-01-07 04:31:09.737700,10
2007-01-07 04:33:59.912700,2007-01-07 04:34:02.837700,10
2007-01-07 06:50:45.087700,2007-01-07 06:50:47.612700,10
2007-01-07 06:55:24.562700,2007-01-07 06:55:27.162700,10
2007-01-07 06:57:01.612700,2007-01-07 06:57:04.887700,10
2007-01-07 07:00:16.837700,2007-01-07 07:00:18.987700,10
2007-01-07 07:07:54.737700,2007-01-07 07:07:57.962700,10
2007-01-07 07:09:58.512700,2007-01-07 07:09:59.862700,10
2007-01-07 07:35:40.362700,2007-01-07 07:35:42.637700,10
2007-01-07 07:37:00.612700,2007-01-07 07:37:04.337700,10
2007-01-07 07:37:48.212700,2007-01-07 07:37:50.087700,10
2007-01-07 08:38:03.437700,2007-01-07 08:38:06.487700,10
2007-01-07 08:39:29.912700,2007-01-07 08:39:32.787700,10
2007-01-07 08:52:37.837700,2007-01-07 08:52:40.437700,10
2007-01-07 08:53:59.487700,2007-01-07 08:54:03.412700,10
2007-01-07 09:09:31.237700,2007-01-07 09:09:34.312700,10
2007-01-07 09:11:23.737700,2007-01-07 09:11:28.712700,10
2007-01-07 09:19:45.862700,2007-01-07 09:19:47.387700,10
2007-01-07 09:32:37.337700,2007-01-07 09:32:39.487700,10
2007-01-07 09:33:30.987700,2007-01-07 09:33:33.112700,10
2007-01-07 09:47:21.012700,2007-01-07 09:47:22.637700,10
2007-01-07 10:05:56.762700,2007-01-07 10:05:58.637700,10
2007-01-07 10:10:51.512700,2007-01-07 10:10:54.212700,10
2007-01-07 11:21:50.887700,2007-01-07 11:21:53.287700,10
2007-01-07 11:36:07.437700,2007-01-07 11:36:10.312700,10
2007-01-07 11:48:13.187700,2007-01-07 11:48:15.387700,10
2007-01-07 12:29:22.712700,2007-01-07 12:29:25.512700,10
2007-01-07 12:30:38.012700,2007-01-07 12:30:40.062700,10
2007-01-07 12:51:33.237700,2007-01-07 12:51:35.712700,10
2007-01-07 13:36:43.262700,2007-01-07 13:36:45.412700,10
2007-01-07 13:49:14.237700,2007-01-07 13:49:16.887700,10
2007-01-07 14:04:21.412700,2007-01-07 14:04:23.687700,10
2007-01-07 14:16:26.687700,2007-01-07 14:16:28.737700,10
2007-01-07 15:16:37.162700,2007-01-07 15:16:38.887700,10
2007-01-07 15:56:16.312700,2007-01-07 15:56:18.512700,10
2007-01-07 16:09:57.312700,2007-01-07 16:09:59.662700,10
2007-01-07 16:14:52.437700,2007-01-07 16:14:55.037700,10
2007-01-07 16:22:02.187700,2007-01-07 16:22:04.662700,10
